date,time_minus_12hours,currency,event,impact,datetime,all_day,actual,forecast,currency_strength
 Jan 1,All Day,NZD,Bank Holiday,None,2024-01-01 00:00:00,True,,,
 Jan 1,All Day,AUD,Bank Holiday,None,2024-01-01 00:00:00,True,,,
 Jan 1,All Day,JPY,Bank Holiday,None,2024-01-01 00:00:00,True,,,
 Jan 1,All Day,CNY,Bank Holiday,None,2024-01-01 00:00:00,True,,,
 Jan 1,All Day,CHF,Bank Holiday,None,2024-01-01 00:00:00,True,,,
 Jan 1,All Day,EUR,French Bank Holiday,None,2024-01-01 00:00:00,True,,,
 Jan 1,All Day,EUR,German Bank Holiday,None,2024-01-01 00:00:00,True,,,
 Jan 1,All Day,EUR,Italian Bank Holiday,None,2024-01-01 00:00:00,True,,,
 Jan 1,All Day,GBP,Bank Holiday,None,2024-01-01 00:00:00,True,,,
 Jan 1,All Day,CAD,Bank Holiday,None,2024-01-01 00:00:00,True,,,
 Jan 1,All Day,USD,Bank Holiday,None,2024-01-01 00:00:00,True,,,
 Jan 2,All Day,NZD,Bank Holiday,None,2024-01-02 00:00:00,True,,,
 Jan 2,All Day,JPY,Bank Holiday,None,2024-01-02 00:00:00,True,,,
 Jan 2,5:31am,GBP,BRC Shop Price Index y/y,Low,2024-01-02 05:31:00,False,4.3%,,
 Jan 2,7:15am,CNY,Caixin Manufacturing PMI,Medium,2024-01-02 07:15:00,False,50.8,50.4,better
 Jan 2,11:00am,AUD,Commodity Prices y/y,Low,2024-01-02 11:00:00,False,-10.7%,,
 Jan 2,All Day,CHF,Bank Holiday,None,2024-01-02 00:00:00,True,,,
 Jan 2,1:45pm,EUR,Spanish Manufacturing PMI,Low,2024-01-02 13:45:00,False,46.2,46.3,
 Jan 2,2:15pm,EUR,Italian Manufacturing PMI,Low,2024-01-02 14:15:00,False,45.3,44.3,better
 Jan 2,2:20pm,EUR,French Final Manufacturing PMI,Low,2024-01-02 14:20:00,False,42.1,42.0,
 Jan 2,2:25pm,EUR,German Final Manufacturing PMI,Low,2024-01-02 14:25:00,False,43.3,43.1,
 Jan 2,2:30pm,EUR,Final Manufacturing PMI,Low,2024-01-02 14:30:00,False,44.4,44.2,
 Jan 2,2:30pm,EUR,M3 Money Supply y/y,Low,2024-01-02 14:30:00,False,-0.9%,-1.0%,
 Jan 2,2:30pm,EUR,Private Loans y/y,Low,2024-01-02 14:30:00,False,0.5%,0.8%,worse
